date,f107,kp
1773-03,-1,-1
1773-04,-1,-1
1773-05,-1,-1
1773-06,-1,-1
1773-07,-1,-1
1773-08,-1,-1
1773-09,-1,-1
1773-10,-1,-1
1773-11,-1,-1
1773-12,-1,-1
1774-01,-1,-1
1774-02,-1,-1
1774-03,-1,-1
1774-04,-1,-1
1774-05,-1,-1
1774-06,-1,-1
1774-07,-1,-1
1774-08,-1,-1
1774-09,-1,-1
1774-10,-1,-1
1774-11,-1,-1
1774-12,-1,-1
1775-01,-1,-1
1775-02,-1,-1
1775-03,-1,-1
1775-04,-1,-1
1775-05,-1,-1
1775-06,-1,-1
1775-07,-1,-1
1775-08,-1,-1
1775-09,-1,-1
1775-10,-1,-1
1775-11,-1,-1
1775-12,-1,-1
1776-01,-1,-1
1776-02,-1,-1
1776-03,-1,-1
1776-04,-1,-1
1776-05,-1,-1
1776-06,-1,-1
1776-07,-1,-1
1776-08,-1,-1
1776-09,-1,-1
1776-10,-1,-1
1776-11,-1,-1
1776-12,-1,-1
1777-01,-1,-1
1777-02,-1,-1
1777-03,-1,-1
1777-04,-1,-1
1777-05,-1,-1
1777-06,-1,-1
1777-07,-1,-1
1777-08,-1,-1
1777-09,-1,-1
1777-10,-1,-1
1777-11,-1,-1
1777-12,-1,-1
1778-01,-1,-1
1778-02,-1,-1
1778-03,-1,-1
1778-04,-1,-1
1778-05,-1,-1
1778-06,-1,-1
1778-07,-1,-1
1778-08,-1,-1
1778-09,-1,-1
1778-10,-1,-1
1778-11,-1,-1
1778-12,-1,-1
1779-01,-1,-1
1779-02,-1,-1
1779-03,-1,-1
1779-04,-1,-1
1779-05,-1,-1
1779-06,-1,-1
1779-07,-1,-1
1779-08,-1,-1
1779-09,-1,-1
1779-10,-1,-1
1779-11,-1,-1
1779-12,-1,-1
1780-01,-1,-1
1780-02,-1,-1
1780-03,-1,-1
1780-04,-1,-1
1780-05,-1,-1
1780-06,-1,-1
1780-07,-1,-1
1780-08,-1,-1
1780-09,-1,-1
1780-10,-1,-1
1780-11,-1,-1
1780-12,-1,-1
1781-01,-1,-1
1781-02,-1,-1
1781-03,-1,-1
1781-04,-1,-1
1781-05,-1,-1
1781-06,-1,-1
1781-07,-1,-1
1781-08,-1,-1
1781-09,-1,-1
1781-10,-1,-1
1781-11,-1,-1
1781-12,-1,-1
1782-01,-1,-1
1782-02,-1,-1
1782-03,-1,-1
1782-04,-1,-1
1782-05,-1,-1
1782-06,-1,-1
1782-07,-1,-1
1782-08,-1,-1
1782-09,-1,-1
1782-10,-1,-1
1782-11,-1,-1
1782-12,-1,-1
1783-01,-1,-1
1783-02,-1,-1
1783-03,-1,-1
1783-04,-1,-1
